TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Hour,DayOfWeek,TimeSincePrevTxn_Hours,AccountTxnFrequency,AmountToBalanceRatio,UniqueDevicesPerAccount,UniqueLocationsPerAccount,IsFraud,FraudLabel,RiskSegment
TX001313,AC00001,47.79,2023-09-15 17:00:00,Debit,Denver,D000649,59.12.96.11,M034,Branch,25,Student,37,1,1649.92,2024-11-04 08:11:00,17,Friday,9975.183333333332,2,0.02894749594165677,2,2,0,Legitimate,Low Risk
TX002017,AC00001,212.97,2023-11-14 16:56:00,Debit,Atlanta,D000492,45.241.13.208,M003,Online,59,Engineer,178,1,4180.4,2024-11-04 08:10:00,16,Tuesday,8535.233333333334,2,0.050932701965848766,2,2,0,Legitimate,Low Risk
TX002121,AC00002,476.99,2023-01-10 16:00:00,Debit,San Diego,D000594,113.137.153.101,M022,Online,23,Student,187,1,1154.48,2024-11-04 08:10:00,16,Tuesday,15928.166666666666,7,0.4128067989060823,7,7,0,Legitimate,Medium Risk
TX000021,AC00002,59.32,2023-02-28 16:36:00,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:00,16,Tuesday,14751.55,7,0.010313131857528569,7,7,0,Legitimate,Low Risk
TX001477,AC00002,12.62,2023-05-05 16:35:00,Debit,El Paso,D000475,93.160.83.196,M068,Branch,33,Doctor,61,1,6420.47,2024-11-04 08:09:00,16,Friday,13167.566666666668,7,0.0019652820927295463,7,7,0,Legitimate,Low Risk
TX000062,AC00002,263.99,2023-05-16 16:07:00,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,2024-11-04 08:11:00,16,Tuesday,12904.066666666668,7,0.06321569341143002,7,7,0,Legitimate,Low Risk
TX001599,AC00002,395.16,2023-07-24 16:14:00,Debit,Milwaukee,D000269,165.38.56.205,M059,Online,56,Retired,17,1,5340.73,2024-11-04 08:11:00,16,Monday,11247.95,7,0.07397603398150039,7,7,0,Legitimate,Low Risk
TX001674,AC00002,331.66,2023-09-11 17:52:00,Debit,Las Vegas,D000041,1.198.76.182,M040,ATM,76,Retired,145,1,7216.3,2024-11-04 08:08:00,17,Monday,10070.266666666666,7,0.04595347290538013,7,7,0,Legitimate,Low Risk
TX001029,AC00002,516.47,2023-12-21 17:00:00,Credit,Charlotte,D000420,59.132.247.252,M026,ATM,25,Student,94,1,1305.06,2024-11-04 08:09:00,17,Thursday,7647.15,7,0.3954412507848032,7,7,0,Legitimate,Medium Risk
TX002326,AC00003,20.17,2023-01-02 16:45:00,Debit,San Antonio,D000287,221.23.158.87,M088,ATM,77,Retired,86,1,3869.37,2024-11-04 08:08:00,16,Monday,16119.383333333333,5,0.005211388058506035,5,5,0,Legitimate,Low Risk
TX001841,AC00003,237.97,2023-01-09 17:26:00,Debit,Columbus,D000498,170.154.69.105,M089,ATM,69,Doctor,69,1,13486.15,2024-11-04 08:06:00,17,Monday,15950.666666666666,5,0.01764420207382583,5,5,0,Legitimate,Low Risk
TX002363,AC00003,416.62,2023-03-06 17:26:00,Credit,Baltimore,D000495,161.195.172.148,M091,Online,26,Student,67,1,9700.9,2024-11-04 08:11:00,17,Monday,14606.75,5,0.04294210412393449,5,5,0,Legitimate,Low Risk
TX001904,AC00003,384.11,2023-05-15 16:35:00,Debit,Fort Worth,D000290,194.88.79.54,M032,ATM,58,Retired,12,1,7902.52,2024-11-04 08:06:00,16,Monday,12927.516666666666,5,0.048599864364232644,5,5,0,Legitimate,Low Risk
TX002248,AC00003,207.47,2023-10-02 18:57:00,Debit,Miami,D000643,147.234.20.46,M045,ATM,53,Doctor,12,1,1688.9,2024-11-04 08:07:00,18,Monday,9565.166666666666,5,0.12277057814071837,5,5,0,Legitimate,Low Risk
TX001851,AC00004,13.16,2023-05-01 17:36:00,Debit,Mesa,D000098,161.177.41.214,M084,Branch,43,Engineer,98,1,1019.46,2024-11-04 08:10:00,17,Monday,13262.566666666668,9,0.012896144875840307,9,9,0,Legitimate,Low Risk
TX000707,AC00004,642.54,2023-05-10 18:49:00,Debit,Milwaukee,D000663,166.79.195.157,M025,Branch,44,Engineer,28,1,3143.17,2024-11-04 08:10:00,18,Wednesday,13045.35,9,0.20435917905202325,9,9,0,Legitimate,Medium Risk
TX001648,AC00004,99.25,2023-06-26 16:53:00,Credit,Phoenix,D000524,17.87.7.140,M048,Online,63,Retired,93,1,2570.34,2024-11-04 08:07:00,16,Monday,11919.233333333334,9,0.038598551727892845,9,9,0,Legitimate,Low Risk
TX000223,AC00004,547.87,2023-07-10 17:15:00,Debit,Columbus,D000183,188.205.152.176,M064,ATM,64,Retired,131,1,6155.76,2024-11-04 08:10:00,17,Monday,11582.916666666666,9,0.08898673977871478,9,9,0,Legitimate,Low Risk
TX002442,AC00004,61.62,2023-10-09 16:01:00,Debit,Miami,D000134,93.218.115.132,M066,Online,57,Doctor,19,1,8365.37,2024-11-04 08:12:00,16,Monday,9400.183333333332,9,0.007365201395587333,9,9,0,Legitimate,Low Risk
TX002391,AC00004,136.31,2023-10-30 16:38:00,Debit,Nashville,D000405,6.234.101.35,M055,Online,74,Retired,65,1,4384.95,2024-11-04 08:08:00,16,Monday,8895.5,9,0.031078785667871273,9,9,0,Legitimate,Low Risk
TX001820,AC00004,365.43,2023-11-23 16:51:00,Debit,Portland,D000146,136.172.149.77,M014,ATM,25,Student,176,1,1073.51,2024-11-04 08:09:00,16,Thursday,8319.3,9,0.34008990144344864,9,9,0,Legitimate,Medium Risk
TX002328,AC00004,273.24,2023-12-12 16:56:00,Debit,Fresno,D000626,211.45.75.44,M011,Branch,51,Retired,173,1,2202.21,2024-11-04 08:10:00,16,Tuesday,7863.233333333334,9,0.1240190449389754,9,9,0,Legitimate,Low Risk
TX000245,AC00004,40.66,2024-01-01 16:08:00,Debit,Louisville,D000214,148.25.159.90,M061,Branch,59,Retired,156,1,1153.84,2024-11-04 08:11:00,16,Monday,7384.05,9,0.03520834054934017,9,9,0,Legitimate,Low Risk
TX002315,AC00005,162.59,2023-02-22 16:18:00,Debit,Indianapolis,D000401,201.95.180.152,M098,Branch,64,Retired,19,1,7104.83,2024-11-04 08:08:00,16,Wednesday,14895.833333333334,9,0.022881211624820746,9,9,0,Legitimate,Low Risk
TX000944,AC00005,377.92,2023-02-22 17:29:00,Debit,Raleigh,D000360,179.43.245.131,M029,Branch,33,Engineer,204,1,2254.71,2024-11-04 08:06:00,17,Wednesday,14894.616666666667,9,0.16753926701570682,9,9,0,Legitimate,Medium Risk
TX001792,AC00005,680.76,2023-02-27 16:38:00,Debit,Kansas City,D000035,60.89.202.192,M011,Branch,21,Student,165,1,572.97,2024-11-04 08:09:00,16,Monday,14775.516666666666,9,1.186055020297228,9,9,0,Legitimate,Medium Risk
TX000547,AC00005,420.28,2023-05-17 17:28:00,Debit,Washington,D000677,110.150.1.201,M002,Branch,35,Doctor,144,1,8557.32,2024-11-04 08:09:00,17,Wednesday,12878.683333333332,9,0.04910776881444021,9,9,0,Legitimate,Low Risk
TX000760,AC00005,417.8,2023-06-26 16:21:00,Credit,Philadelphia,D000630,49.31.186.82,M066,Branch,27,Student,130,1,1518.82,2024-11-04 08:09:00,16,Monday,11919.8,9,0.27490097511547423,9,9,0,Legitimate,Medium Risk
TX000195,AC00005,488.54,2023-07-03 17:47:00,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,2024-11-04 08:07:00,17,Monday,11750.333333333334,9,0.0652462795303721,9,9,0,Legitimate,Low Risk
TX001971,AC00005,116.89,2023-11-20 16:31:00,Debit,Columbus,D000328,146.250.144.172,M064,Online,71,Retired,226,1,4880.31,2024-11-04 08:06:00,16,Monday,8391.583333333334,9,0.0239464406071321,9,9,0,Legitimate,Low Risk
TX002083,AC00005,359.51,2023-11-30 18:08:00,Debit,Charlotte,D000144,32.169.88.41,M010,Online,79,Retired,157,1,7153.72,2024-11-04 08:12:00,18,Thursday,8150.066666666667,9,0.050247948207616785,9,9,0,Legitimate,Low Risk
TX001038,AC00005,107.48,2023-12-04 18:01:00,Debit,Omaha,D000221,44.73.3.217,M080,Branch,22,Student,129,1,591.23,2024-11-04 08:08:00,18,Monday,8054.116666666667,9,0.1814835452442463,9,9,0,Legitimate,Medium Risk
TX000662,AC00006,158.56,2023-02-28 17:28:00,Debit,Sacramento,D000027,218.238.171.184,M087,ATM,33,Doctor,100,1,5401.21,2024-11-04 08:10:00,17,Tuesday,14750.7,4,0.029350950814574037,4,3,0,Legitimate,Low Risk
TX000216,AC00006,74.88,2023-05-24 16:25:00,Debit,Atlanta,D000139,161.161.26.115,M026,ATM,25,Student,202,1,420.67,2024-11-04 08:07:00,16,Wednesday,12711.7,4,0.17757962387649107,4,3,0,Legitimate,Medium Risk
TX001406,AC00006,611.15,2023-08-11 17:12:00,Debit,Detroit,D000044,51.250.46.149,M009,ATM,27,Student,121,1,892.83,2024-11-04 08:09:00,17,Friday,10814.95,4,0.6837429936341362,4,3,0,Legitimate,Medium Risk
TX001977,AC00006,173.13,2023-10-05 16:46:00,Credit,Atlanta,D000485,5.50.152.168,M044,Online,20,Student,288,1,1490.34,2024-11-04 08:07:00,16,Thursday,9495.35,4,0.11609022758056513,4,3,0,Legitimate,Low Risk
TX000077,AC00007,162.63,2023-06-12 17:53:00,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,2024-11-04 08:08:00,17,Monday,12254.25,5,0.2560416896263992,5,5,0,Legitimate,Medium Risk
TX000839,AC00007,637.75,2023-07-24 16:07:00,Debit,Dallas,D000561,184.57.159.204,M028,Branch,79,Retired,152,1,4202.92,2024-11-04 08:08:00,16,Monday,11248.016666666666,5,0.15170364802374925,5,5,0,Legitimate,Medium Risk
